image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648401/books/Crafts-Hobbies/0000012.jpg","200 Crochet Blocks for Blankets, Throws and Afghans","Jan Eaton","Paperback","4.0","13.12","$","16.0","9780715321416","Crafts-Hobbies","dataset/Crafts-Hobbies/0000012.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648402/books/Crafts-Hobbies/0000013.jpg","100 Flowers to Knit & Crochet","Lesley Stanfield","Paperback","4.0","12.65","$","13.9","9781844484034","Crafts-Hobbies","dataset/Crafts-Hobbies/0000013.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648403/books/Crafts-Hobbies/0000014.jpg","Animorphia","Kerby Rosanes","Paperback","4.5","10.28","$","12.9","9781910552070","Crafts-Hobbies","dataset/Crafts-Hobbies/0000014.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648405/books/Crafts-Hobbies/0000015.jpg","Millie Marotta's Tropical Wonderland","Millie Marotta","Paperback","4.5","11.6","$","12.9","9781849942850","Crafts-Hobbies","dataset/Crafts-Hobbies/0000015.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648407/books/Crafts-Hobbies/0000016.jpg","Lost Ocean","Johanna Basford","Paperback","4.5","12.39","$","","9780753557150","Crafts-Hobbies","dataset/Crafts-Hobbies/0000016.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648408/books/Crafts-Hobbies/0000017.jpg","Release Your Anger: Midnight Edition: An Adult Coloring Book with 40 Swear Words to Color and Relax","James Alexander","Paperback","4.5","9.45","$","11.4","9780753545669","Crafts-Hobbies","dataset/Crafts-Hobbies/0000017.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648410/books/Crafts-Hobbies/0000018.jpg","How To Be Parisian","Anne Berest","Hardback","3.5","18.49","$","21.5","9780091958091","Crafts-Hobbies","dataset/Crafts-Hobbies/0000018.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648412/books/Crafts-Hobbies/0000019.jpg","Colour and Light","James Gurney","Paperback","4.0","17.69","$","21.1","9780740797712","Crafts-Hobbies","dataset/Crafts-Hobbies/0000019.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648413/books/Crafts-Hobbies/0000020.jpg","It","Alexa Chung","Hardback","3.5","19.72","$","25.2","9781846147548","Crafts-Hobbies","dataset/Crafts-Hobbies/0000020.jpg"
"https://res.cloudinary.com/dwejbxhu7/image/upload/v1775648414/books/Crime-Thriller/0000001.jpg","1984","George Orwell","Paperback","4.0","7.88","$","8.8","9780141036144","Crime-Thriller","dataset/Crime-Thriller/0000001.jpg"
